HFDTLT,LBLHFDTLT,GEWASGROEP
8556,Pompoenen - industrie,"Groenten, kruiden en sierplanten"
8557,Andere alternatieve slasoorten - industrie,"Groenten, kruiden en sierplanten"
8559,Andere groenten - industrie,"Groenten, kruiden en sierplanten"
856,Andere kruiden -  industrie,"Groenten, kruiden en sierplanten"
8563,Ajuinen (vroege) - industrie,"Groenten, kruiden en sierplanten"
8564,Wortel (vroege) (consumptie) - industrie,"Groenten, kruiden en sierplanten"
859,Peterselie - industrie,"Groenten, kruiden en sierplanten"
860,Kervel - industrie,"Groenten, kruiden en sierplanten"
8620,Andere kolen - industrie,"Groenten, kruiden en sierplanten"
864,Basilicum - industrie,"Groenten, kruiden en sierplanten"
865,Bieslook - industrie,"Groenten, kruiden en sierplanten"
906,Zoete aardappel,"Groenten, kruiden en sierplanten"
931,Erwten (andere dan droog geoogst) - vers,"Groenten, kruiden en sierplanten"
932,Tuin- en veldbonen (Vicia faba) - vers,"Groenten, kruiden en sierplanten"
94,Snijbonen - vers,"Groenten, kruiden en sierplanten"
9409,Pastinaak - vers,"Groenten, kruiden en sierplanten"
9410,Stamslabonen/sperziebonen - vers,"Groenten, kruiden en sierplanten"
9412,Flageolets (voor de boon) - vers,"Groenten, kruiden en sierplanten"
9456,Butternutpompoenen - vers,"Groenten, kruiden en sierplanten"
951,Andere groenten - vers,"Groenten, kruiden en sierplanten"
9511,Asperges - vers,"Groenten, kruiden en sierplanten"
9512,Spruitkool - vers,"Groenten, kruiden en sierplanten"
9513,Sjalotten - vers,"Groenten, kruiden en sierplanten"
9514,Ajuinen (niet vroege) - vers,"Groenten, kruiden en sierplanten"
9515,Witloof (forcerie) - vers,"Groenten, kruiden en sierplanten"
9517,Rabarber - vers,"Groenten, kruiden en sierplanten"
9518,Kropsla - vers,"Groenten, kruiden en sierplanten"
9519,Spinazie - vers,"Groenten, kruiden en sierplanten"
9523,Bloemkool - vers,"Groenten, kruiden en sierplanten"
9524,Boerenkool - vers,"Groenten, kruiden en sierplanten"
9525,Broccoli - vers,"Groenten, kruiden en sierplanten"
9526,Chinese kool - vers,"Groenten, kruiden en sierplanten"
9527,Rode kool - vers,"Groenten, kruiden en sierplanten"
9528,Koolraap - vers,"Groenten, kruiden en sierplanten"
9529,Koolrabi - vers,"Groenten, kruiden en sierplanten"
9530,Raap - vers,"Groenten, kruiden en sierplanten"
9531,Radijs - vers,"Groenten, kruiden en sierplanten"
9532,Rode biet - vers,"Groenten, kruiden en sierplanten"
9533,Schorseneer - vers,"Groenten, kruiden en sierplanten"
9534,(Knol)venkel - vers,"Groenten, kruiden en sierplanten"
9535,Wortel (niet-vroege) (consumptie) - vers,"Groenten, kruiden en sierplanten"
9537,Andijvie - vers,"Groenten, kruiden en sierplanten"
9538,Prei - vers,"Groenten, kruiden en sierplanten"
9539,Bladselder - vers,"Groenten, kruiden en sierplanten"
9540,Witte kool - vers,"Groenten, kruiden en sierplanten"
9541,Courgettes - vers,"Groenten, kruiden en sierplanten"
9542,Veldsla - vers,"Groenten, kruiden en sierplanten"
9543,Knolselder - vers,"Groenten, kruiden en sierplanten"
9544,Ijsbergsla - vers,"Groenten, kruiden en sierplanten"
9545,Raketsla - Rucola - vers,"Groenten, kruiden en sierplanten"
9546,Savooikool - vers,"Groenten, kruiden en sierplanten"
9547,Potchrysanten,"Groenten, kruiden en sierplanten"
9548,Groene selder - vers,"Groenten, kruiden en sierplanten"
9550,Rammenas - vers,"Groenten, kruiden en sierplanten"
9551,Bleekselder - vers,"Groenten, kruiden en sierplanten"
9552,Tomaten - vers,"Groenten, kruiden en sierplanten"
9553,Paprika - vers,"Groenten, kruiden en sierplanten"
9554,Komkommers - vers,"Groenten, kruiden en sierplanten"
9555,Aubergines - vers,"Groenten, kruiden en sierplanten"
9556,Pompoenen - vers,"Groenten, kruiden en sierplanten"
9557,Andere alternatieve slasoorten - vers,"Groenten, kruiden en sierplanten"
956,Andere kruiden - vers,"Groenten, kruiden en sierplanten"
9561,Witloofwortel,"Groenten, kruiden en sierplanten"
9563,Ajuinen (vroege) - vers,"Groenten, kruiden en sierplanten"
9564,Wortel (vroege) (consumptie) - vers,"Groenten, kruiden en sierplanten"
957,Geneeskrachtige en aromatische planten en kruiden,"Groenten, kruiden en sierplanten"
9570,Azalea,"Groenten, kruiden en sierplanten"
9572,Bloembollen en -knollen,"Groenten, kruiden en sierplanten"
9573,"Groene kamerplanten (ficus, ...)","Groenten, kruiden en sierplanten"
9574,"Bloeiende kamerplanten (kalanchoë, ...)","Groenten, kruiden en sierplanten"
9575,Snijplanten < 5 jaar,"Groenten, kruiden en sierplanten"
9576,Snijbloemen - rozen,"Groenten, kruiden en sierplanten"
